Inicio,Latitud,Longitud,Fin,,,Distancia
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,5.15
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,11.14
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,5.01
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,0.75
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,7.99
Av. Raul Ferrero 1139 - La Molina 15024,-12.0899728,-76.9489250,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,7.26
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,6.77
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,6.36
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,2.34
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,7.78
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,3.10
Jr. Centenario 156 - La Molina 15026,-12.0695625,-76.9369370,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,4.78
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,4.48
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,2.40
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,0.93
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,3.62
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,2.17
Av. la Fontana Mz C-6 - La Molina 15024,-12.0732210,-76.9503830,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,0.75
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,0.71
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,0.92
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,6.38
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,8.93
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,5.95
Av. Separadora Industrial 2115 - Lima 15012,-12.0629980,-76.9602294,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,3.57
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,5.18
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,5.63
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,5.19
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,0.31
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,894 - Av. Flora Tristan 956 - La Molina 15012,-12.0635850,-76.9453729,8.18
C. las Caobas 118 - La Molina 15024,-12.0905000,-76.9497505,Calle Toulon 155 - La Molina 15023,-12.0722000,-76.9526652,3.71
Av. La Molina 1144 - Av. la Molina Este 11 - La Molina 15023,-12.0727657,-76.9564068,LM-119 688 - La Molina 15023,-12.0664305,-76.9593000,2.09
Av. La Molina 1144 - Av. la Molina Este 11 - La Molina 15023,-12.0727657,-76.9564068,El Carrizal 265 - La Molina 15012,-12.0633707,-76.9571991,3.77
Av. La Molina 1144 - Av. la Molina Este 11 - La Molina 15023,-12.0727657,-76.9564068,Av. la Fontana 955 - La Molina 15024,-12.0733000,-76.9480494,2.51
Av. La Molina 1144 - Av. la Molina Este 11 - La Molina 15023,-12.0727657,-76.9564068,Av. Javier Prado Este 4921 - La Molina 15023,-12.0913212,-76.9510361,7.73
